,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
0,10 Things I Hate About You,movie,1999,PG-13,98 min,"On the first day at his new school, Cameron (Joseph Gordon-Levitt) instantly falls for Bianca (Larisa Oleynik), the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date... until her ill-tempered, completely un-datable older sister Kat (Julia Stiles) goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy (Heath Ledger) with a nasty reputation of his own!","Comedy,Coming of Age,Romance","Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,Larisa Oleynik,David Krumholtz,Andrew Keegan",Gil Junger,United States,https://www.imdb.com/title/tt0147800/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
1,101 Dalmatians,movie,1996,G,104 min,"Unleashing every ounce of Disney magic, 101 Dalmatians thrills audiences of all ages with fast-paced adventure and comedy – featuring a brilliant performance by Glenn Close as Cruella De Vil. In their small London flat, Dalmatians Pongo and Perdy, and their human ""pets"" Roger and Anita, are overjoyed by the arrival of 15 puppies. But when the spotted-fur-loving Ms. De Vil and her clumsy cohorts, Jasper and Horace, dognap the litter – along with every other Dalmatian pup in London – Pongo and Perdy must rally the town's animals to the rescue. The plan hurls them towards a thrilling climax, filled with uproarious moments as the puppies attempt to outwit their captors and bring on a final showdown with Cruella. Packed with one of the largest and cutest collections of puppies ever brought to film, 101 Dalmatians also features a superb cast of talented humans, including Jeff Daniels, Joely Richardson and Joan Plowright. Contains tobacco depictions.","Action-Adventure,Animals & Nature,Family","Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright,Hugh Laurie,Mark Williams",Stephen Herek,"United States,United Kingdom",https://www.imdb.com/title/tt0115433/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
2,101 Dalmatians II: Patch's London Adventure,movie,2003,G,77 min,"The adventure begins when Pongo and Perdita's pup Patch, who is not satisfied being just one out of 101, gets the chance to meet his TV hero, Thunderbolt, the One-Of-A-Kind Wonderdog. When Thunderbolt's trusty sidekick Lightning reveals that the show's producers are on the lookout for a new star, Thunderbolt with Patch in tow struts out into the real world to perform true acts of heroism. And when puppy-obsessed Cruella De Vil returns, it's Patch and Thunderbolt's teamwork and friendship that will save the day. Contains tobacco depictions.","Action-Adventure,Animation","Barry Bostwick,Jason Alexander,Martin Short,Bobby Lockwood,Susanne Blakeslee,Samuel West","Jim Kammerud,Brian Smith",United States,https://www.imdb.com/title/tt0324941/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
3,102 Dalmatians,movie,2000,G,103 min,"This hilarious adventure stars Oddball, the spotless Dalmatian puppy, as he embarks on a search for his rightful spots. He partners with Waddlesworth, a wisecracking, delusional macaw who thinks he's a Rottweiler. Barking mad, this unlikely duo leads a posse of puppies on a mission to outfox the wildly wicked, ever-scheming Cruella De Vil (Glenn Close). Filled with chases, close calls, hilarious antics and daring escapes all the way from London to the streets of Paris, the adventure comes to a thrilling head at a Parisian bakery. Contains tobacco depictions.","Action-Adventure,Animals & Nature,Family","Glenn Close,Ioan Gruffudd,Alice Evans,Tim McInnerny,Ian Richardson,Gérard Depardieu",Kevin Lima,"United States,United Kingdom",https://www.imdb.com/title/tt0211181/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
4,12 Dates of Christmas,movie,2011,TV-PG,88 min,"A young woman re-lives the same first date on Christmas Eve over and over again until she learns to open up her world to new things and stop living in the past. She goes on a blind date to get over her ex-boyfriend. Her date, the handsome Miles, could be the man of her dreams but Kate is blind to his charm. She finds herself stuck in a time warp where she if forced to repeat her blind date until she realizes the spirit of Christmas and true love.","Comedy,Family,Fantasy","Amy Smart,Mark-Paul Gosselaar,Peter MacNeil,Mary Long,Jayne Eastwood,Laura Miyata",James Hayman,United States,https://www.imdb.com/title/tt1846442/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
5,"20,000 Leagues Under the Sea",movie,1954,G,127 min,"Climb aboard the Nautilus and into a strange undersea world of spellbinding adventure! Kirk Douglas, Paul Lukas, and Peter Lorre star as shipwrecked survivors taken captive by the mysterious Captain Nemo, brilliantly portrayed by James Mason. Wavering between genius and madness, Nemo has launched a deadly crusade across the seven seas. But can the captive crew expose his evil plan before he destroys the world? Disney's brilliant Academy Award®-winning (Best Art Direction and Best Special Effects) adaptation of Jules Verne's gripping tale makes 20,000 LEAGUES UNDER THE SEA a truly mesmerizing masterpiece! Contains tobacco depictions. This program is presented as originally created. It may contain outdated cultural depictions.","Action-Adventure,Family,Science Fiction","Kirk Douglas,James Mason,Paul Lukas,Peter Lorre,Robert Wilke,Ted de Corsia",Richard Fleischer,United States,https://www.imdb.com/title/tt0046672/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
6,A Bug's Life,movie,1998,G,98 min,"Journey inside the miniature world of bugs for bigger-than-life fun and adventure under every leaf. Embark on an incredible expedition with one little ant as he searches for a band of warriors to help him battle the grasshoppers who threaten his home. When he stumbles upon a bumbling troupe of circus bugs instead, their only hope for victory is the bond of friendship and the power of imagination.","Animation,Comedy,Family","Dave Foley,Kevin Spacey,Julia Louis-Dreyfus,Hayden Panettiere,Phyllis Diller,Richard Kind",John Lasseter,United States,https://www.imdb.com/title/tt0120623/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
7,A Goofy Movie,movie,1995,G,81 min,"The lovable Goof bonds with his teenage son Max on a hilarious cross-country road trip. En route to the ol' fishing hole, they find themselves up to their floppy ears in misadventure, action-packed situations, narrow escapes – and even a comic close encounter with Bigfoot. Will Max learn there's nothing wrong with taking after dear old dad... even if he is a little goofy? The question is answered in the showstopping finale, when Max and Goofy ""crash the stage"" at the most spectacular rock concert ever performed.","Action-Adventure,Animation,Comedy","Bill Farmer,Jason Marsden,Jim Cummings,Kellie Martin,Rob Paulsen,Wallace Shawn",Kevin Lima,"United States,Australia,France,Canada",https://www.imdb.com/title/tt0113198/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
8,A Kid in King Arthur's Court,movie,1995,PG,90 min,"Camelot meets the sandlot in Disney's hilarious story inspired by Mark Twain's timeless A Connecticut Yankee In King Arthur's Court. To 14-year-old Little Leaguer Calvin Fuller, life is like one big strikeout when he lets his team down. But then an earthquake sends him through a magical time rift and he finds himself in King Arthur's court... and all is not well with the realm. An aged King Arthur is in danger of losing control to the evil Lord Belasco, and now it's up to Calvin to save the kingdom. But before he can find a way to vanquish Belasco, he must first find a way to conquer his own fears.","Action-Adventure,Comedy,Coming of Age","Thomas Nicholas,Joss Ackland,Art Malik,Paloma Baeza,Kate Winslet,Daniel Craig",Michael Gottlieb,"United States,Hungary,United Kingdom",https://www.imdb.com/title/tt0113538/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
9,A Knight for a Day,movie,1946,TV-G,7 min,"Get your front-row seat for a sold-out medieval slugfest. Faithful – and clumsy – servant Cedric will do whatever it takes to help his noble master, Sir Loinsteak, prepare for a jousting tournament against the defending champion, Sir Cumference. But when Sir Loinsteak takes a nasty spill, it's up to Cedric to take the reins and don the armor to battle for the hand of the fair Princess Esmerelda. Contains tobacco depictions. This program is presented as originally created. It may contain outdated cultural depictions.","Animation,Comedy,Family",,Jack Hannah,United States,https://www.imdb.com/title/tt0038674/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
