,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
0,101 Dalmatian Street,tvshow,2018,TV-Y7,1 Season,"Follow the adventures of eldest siblings Dolly and Dylan, their Mum Delilah and Dad Doug, and their 97 younger brothers and sisters as their embark on urban adventures and extreme sibling rivalry. Together, the pups explore growing up and finding their own spot inside the biggest, messiest, furriest blended family ever.","Action-Adventure,Animation,Comedy","Josh Brener,Michaela Dietz,Ella Kenion,Rhashan Stone",,"United Kingdom,United States,Canada",https://www.imdb.com/title/tt7019028/?ref_=plg_rt_1,"Added to Disney+:February 28, 2020"
1,101 Dalmatians (Series),tvshow,1997,TV-Y7,1 Season,"After foiling Cruella DeVil's plot to make a fur coat with the puppies' skins, the Dearly Family (Roger and Anita Dearly, Nanny, Pongo, Perdita, their 15 birth puppies and 84 adopted puppies) move to a new farm home in the country. Join Pongo and Perdy's pups, brave Lucky, tubby Rolly and Cadpig the runt, together with their chicken friend Spot, as they defend their new home from Cruella DeVil (Anita's boss and now new neighbor), continually get in and out of trouble, sneak into Grutely, and have all sorts of crazy adventures around the farm. Also along for the fun is Tripod, Patch, Two-Tone, Wizzer, Dipstick, Mooch, and the rest of their barnyard friends.","Action-Adventure,Animation,Kids","Jeff Bennett,Christine Cavanaugh,Tara Charendoff,Jim Cummings,Tress MacNeille,Charlotte Rae",,,,"Added to Disney+:June 19, 2020"
2,Alaska's Grizzly Gauntlet,tvshow,2018,TV-PG,1 Season,"In Alaska’s Grizzly Gauntlet, survival expert Les Stroud explores the world of Alaska’s most formidable wildlife and uncovers the secrets to their survival in America’s final frontier. The Kodiak Bear, Caribou, Black Bear, Moose and Polar Bear call 650,000 square miles of windswept tundra, Arctic glaciers, rolling great plains and vast mountain ranges their home.","Animals & Nature,Docuseries,Family",Les Stroud,,,,"Added to Disney+:June 5, 2020"
3,America's Funniest Home Videos,tvshow,1989,TV-PG,9 Seasons,"The show that invented the viral video and the longest-running primetime entertainment show in ABC history, provides viewers with hilarious real-life blunders that fly by at a dizzying pace. AFV continues to be a Sunday-night tradition for millions of families from coast to coast. Amateur videographers across America submit videos of their kids, pets, friends, and families in funny and often embarrassing situations, with the hope of winning thousands in prize money. The studio audience determines a weekly winner. Please note, this program is presented as originally created. Video submissions are no longer accepted via mail.","Comedy,Family,Fantasy",Tom Bergeron,,United States,https://www.imdb.com/title/tt0098740/?ref_=plg_rt_1,"Added to Disney+:April 24, 2020"
4,America's National Parks,tvshow,2015,TV-14,1 Season,"Celebrate the 100th birthday of ""America’s best idea."" This premium blue-chip event features beautiful filmmaking and you-are-there experiences of eight of America's most beloved national parks – including Yellowstone, Yosemite, Grand Canyon, and Everglades – offering insightful explorations of some of the most breathtaking landscapes and majestic animals in the world.","Animals & Nature,Docuseries",C.T. Taylor,,United States,https://www.imdb.com/title/tt4622802/?ref_=plg_rt_1,"Added to Disney+:January 15, 2020"
5,Andi Mack,tvshow,2016,TV-G,3 Seasons,"Andi is just about to turn 13 and she's ready to rebel, along with her two close friends, Buffy and Cyrus. However, Andi’s journey is complicated by the arrival of her wild older sister, Bex. When she was a teenager, Bex was the poster child for rebellion. Now Bex stops by every year or two; where she and Andi usually enjoy an adventurous time together, and then Bex is off again. But this time, Bex is sticking around, and she’s ready to get her life together. Unfortunately, that means tearing Andi’s life apart.","Comedy,Coming of Age,Drama","Peyton Lee,Joshua Rush,Sofia Wylie,Asher Angel,Lilan Bowden,Lauren Tom",,United States,https://www.imdb.com/title/tt5195114/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
6,Austin & Ally,tvshow,2011,TV-G,4 Seasons,"Opposites rock when an unlikely partnership is formed between Austin, an extroverted musician/singer, and Ally, a brilliant yet shy songwriter - and their two best friends, Trish and Dez. Austin and Ally combine their talents to create a true musical tour-de-force, but will they be able to make it when embarrassing footage of Austin starts showing up on a local blog or Dez misreads the words and gets a kangaroo for Austin’s next video?","Comedy,Coming of Age,Kids","Ross Lynch,Laura Marano,Raini Rodriguez,Calum Worthy",,United States,https://www.imdb.com/title/tt1830491/?ref_=plg_rt_1,"Added to Disney+:January 1, 2020"
7,Awesome Animals,tvshow,2017,TV-PG,1 Season,National Geographic Kids presents a natural history series just for kids. Join 16-year-old narrator Jake Cuddemi as he presents some fascinating information about a variety of animal species.,"Animals & Nature,Docuseries,Family",,,,,"Added to Disney+:May 1, 2020"
8,Best Friends Whenever,tvshow,2015,TV-G,2 Seasons,"When their aspiring scientist friend Barry's invention goes awry, best friends Cyd and Shelby gain the power to leap forward and backward in time whenever they want – and even sometimes when they don’t! Now, these BFF’s experience the twists and turns of friendship and must decide between fixing mistakes in the past or catching a glimpse of the future. Cyd and Shelby must learn to master their new powers, deal with Shelby’s mischievous twin brothers Bret and Chet and maneuver through yesterday, today, and tomorrow!","Buddy,Comedy,Coming of Age","Lauren Taylor,Shelby Bender,Gus Kamp,Ricky Garcia,Benjamin Royer,Matthew Royer",,United States,https://www.imdb.com/title/tt4507442/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
9,Big City Greens,tvshow,2017,TV-Y7,1 Season,"Cricket Green is moving to the big city! Along with his older sister Tilly, father Bill and wild Gramma Alice, these simple country folk must learn how to live life in a bustling metropolis. Cricket’s curiosity and enthusiasm leads his wildly out-of-place family on epic journeys and into the hearts of his new neighbors. There’s never a dull day for a small family who can find big adventures no matter where they are!","Action-Adventure,Animation,Comedy","Chris Houghton,Marieve Herington,Bob Joles,Artemis Pebdani",,United States,https://www.imdb.com/title/tt7165904/?ref_=plg_rt_1,"Added to Disney+:November 12, 2019"
