,title,genres,year,type,originals,description,everything
0,1000 Mabrouk,"comedy,drama,fantasy,thriller",2009,movie,0,"About a man who wakes up one morning to discover that the day repeats, a carbon copy of the day before, trapping him in an inescapable vicious circle. This man has a dream to live for 100 years, however he is living for one day only and that day keep repeating to show him the negative and positive things in his life.","About a man who wakes up one morning to discover that the day repeats, a carbon copy of the day before, trapping him in an inescapable vicious circle. This man has a dream to live for 100 years, however he is living for one day only and that day keep repeating to show him the negative and positive things in his life. comedy,drama,fantasy,thriller"
1,1000 Rupee Note,drama,2016,movie,0,"Poor Parobudhi receives a thousand rupee note from a politician at an election rally. However, she has no idea about the kind of trouble she just got into. Ek Hazarachi Note is an encouraging tale of humanity against money.","Poor Parobudhi receives a thousand rupee note from a politician at an election rally. However, she has no idea about the kind of trouble she just got into. Ek Hazarachi Note is an encouraging tale of humanity against money. drama"
2,100 Days of Loneliness,"documentary,drama",2018,movie,0,An extraordinary and touching tale about a man alone in the nature.,"An extraordinary and touching tale about a man alone in the nature. documentary,drama"
3,100 Meters,"comedy,drama,biography",2016,movie,0,"Based on the incredibly true story of a Spanish man with Multiple Esclorosis who tried to finish an Iron-Man: 3,8km swimming, 180km cycling and 42 running. And he was told that he could not make 100 meters.","Based on the incredibly true story of a Spanish man with Multiple Esclorosis who tried to finish an Iron-Man: 3,8km swimming, 180km cycling and 42 running. And he was told that he could not make 100 meters. comedy,drama,biography"
4,10 Days In Sun City,"comedy,action-and-adventure,romance",2017,movie,0,"A potpourri of love, drama, passion and culture, ""10 Days in Sun City"" is a comedy-drama that sees Akpos on another ‘adventure’, this time, to South Africa, with his girlfriend Bianca.","A potpourri of love, drama, passion and culture, ""10 Days in Sun City"" is a comedy-drama that sees Akpos on another ‘adventure’, this time, to South Africa, with his girlfriend Bianca. comedy,action-and-adventure,romance"
5,10 jours en or,"comedy,drama",2012,movie,0,French movie written and directed by Nicolas Brossette and starring Franck Dubosc.,"French movie written and directed by Nicolas Brossette and starring Franck Dubosc. comedy,drama"
6,122,"horror,thriller",2019,movie,0,"During a bloody night, a young man and his lover are struggling, not to get to the hospital, but to escape and survive.","During a bloody night, a young man and his lover are struggling, not to get to the hospital, but to escape and survive. horror,thriller"
7,12 Round Gun,"drama,sport",2017,movie,0,"A washed up, alcoholic ex-prizefighter makes a comeback to boxing after his top heavyweight contender son is wrongfully blinded in the ring.","A washed up, alcoholic ex-prizefighter makes a comeback to boxing after his top heavyweight contender son is wrongfully blinded in the ring. drama,sport"
8,13 Cameras,"drama,horror,crime,thriller,mystery",2015,movie,0,"Newlyweds Claire and Ryan have just moved into a new house. Both are hoping Claire’s pregnancy will be the cement needed to hold their already fraying relationship together. Little do they know their marital issues are the least of their problems. For unbeknownst to them, their scruffy, sleazy and lascivious landlord has installed numerous miniature cameras all over their home and has been spying on them from Day One. Then Ryan begins an office affair, and the landlord kits out the secret basement with chains and soundproofing. Something is going to give in this suburban shocker packed with nasty surprises.","Newlyweds Claire and Ryan have just moved into a new house. Both are hoping Claire’s pregnancy will be the cement needed to hold their already fraying relationship together. Little do they know their marital issues are the least of their problems. For unbeknownst to them, their scruffy, sleazy and lascivious landlord has installed numerous miniature cameras all over their home and has been spying on them from Day One. Then Ryan begins an office affair, and the landlord kits out the secret basement with chains and soundproofing. Something is going to give in this suburban shocker packed with nasty surprises. drama,horror,crime,thriller,mystery"
9,13 Sins,"comedy,horror,thriller,mystery",2014,movie,0,"Drowning in debt as he's about to get married, a bright but meek salesman receives a mysterious phone call informing him that he's on a hidden-camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.","Drowning in debt as he's about to get married, a bright but meek salesman receives a mysterious phone call informing him that he's on a hidden-camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize. comedy,horror,thriller,mystery"
10,13th,"documentary,crime,history",2016,movie,1,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,"An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality. documentary,crime,history"
