,title,genres
0,Inception,"action-and-adventure,mystery,science-fiction,thriller"
1,Back to the Future,"comedy,fantasy,science-fiction,action-and-adventure,romance,family,drama"
2,The Matrix,"action-and-adventure,science-fiction"
3,"The Good, the Bad and the Ugly",
4,Avengers: Infinity War,"action-and-adventure,fantasy,science-fiction"
5,Django Unchained,drama
6,The Pianist,"biography,drama,musical"
7,Spider-Man: Into the Spider-Verse,"action-and-adventure,animation,science-fiction,comedy,family"
8,Raiders of the Lost Ark,action-and-adventure
9,Inglourious Basterds,"action-and-adventure,drama,mystery,thriller"
10,Taxi Driver,"crime,drama"
11,3 Idiots,"comedy,drama"
12,Pan's Labyrinth,"drama,fantasy"
13,Monty Python and the Holy Grail,"action-and-adventure,cult,comedy,fantasy"
14,Room,"drama,thriller,mystery,horror"
15,Indiana Jones and the Last Crusade,action-and-adventure
16,V for Vendetta,"action-and-adventure,drama,thriller,science-fiction,mystery,fantasy"
17,Groundhog Day,"romance,cult,comedy,fantasy,drama"
18,Her,"drama,romance,science-fiction"
19,There Will Be Blood,drama
20,Dallas Buyers Club,"biography,lgbtq,drama,history"
21,Life of Brian,"comedy,cult,documentary"
22,The Social Network,"biography,drama"
23,The Perks of Being a Wallflower,"drama,lgbtq,romance,crime,science-fiction"
24,Ex Machina,"drama,science-fiction,mystery,thriller"
25,District 9,"science-fiction,action-and-adventure,thriller,fantasy,drama,mystery"
26,Silver Linings Playbook,"comedy,drama,romance"
27,The Irishman,"drama,crime,biography,mystery,thriller,history"
28,Drive,"crime,drama,mystery,thriller"
29,Minority Report,"action-and-adventure,mystery,science-fiction,crime,thriller"
30,E.T. the Extra-Terrestrial,"action-and-adventure,children,science-fiction,family,fantasy"
31,Marriage Story,"drama,comedy,romance"
32,Incredibles 2,"animation,action-and-adventure,comedy,family,science-fiction"
33,Dangal,"action-and-adventure,biography,drama,sport"
34,Train to Busan,"action-and-adventure,horror,thriller,mystery"
35,Ferris Bueller's Day Off,comedy
36,Klaus,"animation,family,fantasy,action-and-adventure,comedy"
37,Despicable Me,"animation,comedy,family,fantasy"
38,Hell or High Water,"thriller,crime,drama,mystery,action-and-adventure"
39,Lady Bird,"comedy,drama"
40,Like Stars on Earth,"drama,family"
41,Sin City,"crime,thriller,mystery,documentary,action-and-adventure"
42,Willy Wonka & the Chocolate Factory,"family,fantasy,musical,comedy"
43,Zodiac,"crime,drama,mystery,thriller"
44,Moonlight,"drama,lgbtq,comedy,musical"
45,Back to the Future Part II,"comedy,fantasy,science-fiction,action-and-adventure,family"
46,Ip Man,"action-and-adventure,biography,drama,history,fantasy"
47,13th,"documentary,crime,history"
48,Snowpiercer,"action-and-adventure,drama,science-fiction"
49,Indiana Jones and the Temple of Doom,action-and-adventure
50,The Theory of Everything,"drama,biography,romance"
51,Scott Pilgrim vs. the World,"action-and-adventure,comedy,fantasy,romance"
52,The Artist,"comedy,drama,romance,mystery,thriller"
53,Inside Man,"crime,drama,mystery,thriller"
54,The Pursuit of Happyness,"biography,drama,documentary"
55,Senna,"documentary,biography,sport"
56,The Curious Case of Benjamin Button,"drama,fantasy,romance,mystery,thriller"
57,The Hateful Eight,"comedy,drama,mystery,crime,thriller"
58,A Silent Voice,"animation,anime,drama,romance,family"
59,Ant-Man and the Wasp,"action-and-adventure,fantasy,comedy,science-fiction"
60,Song of the Sea,"animation,family,fantasy,action-and-adventure,drama"
61,Back to the Future Part III,"comedy,fantasy,science-fiction,action-and-adventure,romance,family"
62,Hugo,"action-and-adventure,drama,family,fantasy,mystery,romance"
63,Blackfish,"documentary,drama"
64,As Good as It Gets,"comedy,drama,romance"
65,Searching for Sugar Man,"documentary,biography,musical"
66,End of Watch,"crime,drama,thriller,action-and-adventure,mystery"
67,The Evil Dead,"horror,cult"
68,Malcolm X,"biography,drama,history,romance"
69,About Time,"drama,fantasy,romance,comedy,science-fiction"
70,Kung Fu Hustle,"action-and-adventure,comedy,crime,fantasy"
71,El Camino: A Breaking Bad Movie,"crime,drama,thriller,action-and-adventure,mystery"
72,The Invisible Guest,"crime,mystery,thriller"
73,Molly's Game,"biography,drama,crime"
74,Philadelphia,"drama,romance"
75,Y Tu Mamá También,"action-and-adventure,lgbtq,comedy,drama,romance"
76,To All the Boys I've Loved Before,"comedy,romance,drama"
77,The Last Samurai,"action-and-adventure,drama,history"
78,Tucker and Dale vs. Evil,"comedy,horror"
79,The Matrix Reloaded,"action-and-adventure,science-fiction,mystery,thriller"
80,Uncut Gems,"crime,thriller,drama,comedy,mystery"
81,The Edge of Seventeen,"comedy,drama"
82,Blue Is the Warmest Color,"drama,lgbtq,romance"
83,The Lincoln Lawyer,"crime,drama,thriller,mystery"
84,Dolemite Is My Name,"drama,stand-up-and-talk,comedy,biography,history"
85,Mud,drama
86,The Two Popes,"drama,biography,comedy,history"
87,Bahubali: The Beginning,"action-and-adventure,history,drama"
88,The Florida Project,drama
89,Lagaan: Once Upon a Time in India,"action-and-adventure,drama,musical,romance"
90,Icarus,"documentary,thriller,sport"
91,Roma,drama
92,Jerry Maguire,"comedy,drama,romance,sport"
93,Saving Mr. Banks,"biography,comedy,drama,musical,history"
94,The Dawn Wall,"documentary,biography,sport,action-and-adventure"
95,Okja,"action-and-adventure,drama,science-fiction"
96,GoldenEye,"action-and-adventure,thriller,mystery,science-fiction,documentary"
97,Good Time,"crime,drama,thriller,mystery"
98,Ip Man 2,"action-and-adventure,biography,drama,history,sport"
99,The Platform,"drama,science-fiction,horror,thriller,mystery"
100,The Death of Stalin,"comedy,drama,history"
101,West Side Story,"musical,crime,drama,romance"
102,The Boy in the Striped Pyjamas,drama
103,The Spectacular Now,"comedy,drama,romance"
104,The Lobster,"comedy,drama,romance,science-fiction,thriller,mystery"
105,Amy,"documentary,biography,musical"
106,Black Mirror: Bandersnatch,"drama,mystery,science-fiction,thriller"
107,Mudbound,drama
108,Blue Valentine,"drama,romance"
109,Baahubali 2: The Conclusion,"action-and-adventure,drama"
110,Ralph Breaks the Internet,"family,animation,action-and-adventure,comedy,fantasy,mystery,thriller,drama"
111,The Little Prince,"animation,action-and-adventure,drama,family,fantasy"
112,Green Room,"crime,horror,thriller,mystery,musical"
113,Frost/Nixon,"drama,history,biography"
114,PK,"comedy,drama,fantasy,musical"
115,The Ballad of Buster Scruggs,"comedy,drama,musical,mystery,romance"
116,Burning,"drama,mystery,thriller"
117,Cloverfield,"action-and-adventure,science-fiction,thriller,mystery,fantasy,horror"
118,Cloudy with a Chance of Meatballs,"animation,comedy,family,food,action-and-adventure,fantasy,science-fiction"
119,Bolt,"animation,action-and-adventure,comedy,drama,family"
120,Chasing Amy,"comedy,lgbtq,drama,romance"
121,United 93,"action-and-adventure,drama,history,thriller,mystery,crime"
122,Clueless,"comedy,lgbtq,romance,drama"
123,Tremors,"horror,cult,comedy,science-fiction,action-and-adventure,fantasy"
124,The Princess and the Frog,"animation,family,fantasy,action-and-adventure,comedy,musical,romance"
125,The Wicker Man,"horror,cult,mystery,thriller"
126,A Single Man,"drama,lgbtq,romance"
127,Extraction,"action-and-adventure,thriller,drama,mystery"
128,Bad Genius,"comedy,crime,drama,thriller"
129,The Gift,"mystery,thriller,drama,horror,documentary"
130,Neon Genesis Evangelion: The End of Evangelion,"animation,anime,action-and-adventure,drama,fantasy,science-fiction"
131,Zindagi Na Milegi Dobara,"action-and-adventure,comedy,drama,travel,romance"
132,Blow,"biography,crime,drama"
133,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","documentary,comedy"
134,The Squid and the Whale,"comedy,independent,drama"
135,Steve Jobs,"biography,drama,history"
136,Tootsie,"comedy,romance,drama"
137,The Patriot,"action-and-adventure,drama,history"
138,The Queen,"biography,drama,history"
139,The Croods,"animation,action-and-adventure,comedy,family,fantasy"
140,Solo: A Star Wars Story,"action-and-adventure,fantasy,science-fiction,drama"
141,The Half of It,"comedy,romance,drama"
142,Cape Fear,"thriller,crime,mystery,drama"
143,Frances Ha,"comedy,drama,romance"
144,Locke,"drama,mystery,thriller"
145,The Square,"documentary,drama,history"
146,Starred Up,"drama,crime"
147,Blue Ruin,"crime,independent,drama,thriller,mystery"
148,My Life as a Zucchini,"animation,lgbtq,family,comedy,drama"
149,Barfi!,"action-and-adventure,comedy,drama,romance"
150,The Witch,"horror,mystery,drama,thriller"
151,Gerald's Game,"horror,thriller,drama"
152,Babel,drama
153,LA 92,"documentary,history"
154,Miracle,"biography,drama,history,sport"
155,Elizabeth,"biography,drama,history"
156,Charlie and the Chocolate Factory,"action-and-adventure,comedy,family,fantasy,musical"
157,Swades,drama
158,Bill Burr: I'm Sorry You Feel That Way,"comedy,stand-up-and-talk"
159,Padman,"comedy,drama,biography"
160,Haider,"crime,drama,romance,thriller,action-and-adventure"
161,Tinker Tailor Soldier Spy,"mystery,thriller,drama"
162,Freedom Writers,"biography,crime,drama"
163,Trumbo,"biography,drama,mystery,thriller,comedy"
164,The Master,drama
165,Miss Americana,documentary
166,Christopher Robin,"animation,action-and-adventure,comedy,biography,drama,family,fantasy"
167,I Lost My Body,"animation,drama,fantasy,romance"
168,I Am Mother,"thriller,science-fiction,drama,mystery"
169,Kabhi Khushi Kabhie Gham,"drama,musical,romance,comedy"
170,Lupin the Third: The Castle of Cagliostro,"animation,anime,action-and-adventure,family,fantasy,comedy,crime"
171,The Autopsy of Jane Doe,"horror,mystery,thriller"
172,A Serious Man,"comedy,drama"
173,Virunga,documentary
174,Hush,"documentary,drama,horror,thriller,mystery"
175,Hannah Gadsby: Nanette,"comedy,stand-up-and-talk,lgbtq"
176,Article 15,"drama,crime"
177,The King,"drama,history,biography,romance"
178,Lawless,"crime,drama"
179,The Boy Who Harnessed the Wind,drama
180,The Killing of a Sacred Deer,"drama,horror,mystery,thriller"
181,The Mask of Zorro,"action-and-adventure,comedy,romance"
182,The Breadwinner,"animation,family,drama"
183,The Guest,"action-and-adventure,mystery,thriller,crime,drama,horror,comedy"
184,Freaks,"science-fiction,thriller,drama,mystery"
185,Winter on Fire: Ukraine's Fight for Freedom,documentary
186,Always Be My Maybe,"romance,comedy"
187,War Horse,"drama,action-and-adventure,history"
188,The Invitation,"horror,cult,thriller,drama,mystery"
189,Public Enemies,"action-and-adventure,thriller,biography,crime,drama,history,mystery"
190,The Crying Game,"crime,lgbtq,drama,romance,thriller,mystery,sport"
191,The Fundamentals of Caring,"drama,comedy"
192,Kapoor & Sons,"comedy,lgbtq,drama,romance"
193,Arthur Christmas,"animation,comedy,drama,action-and-adventure,family,fantasy"
194,The Ring,"horror,mystery,documentary,comedy,drama"
195,A Most Violent Year,"action-and-adventure,crime,drama,thriller,mystery"
196,The Other Guys,"action-and-adventure,comedy,crime"
197,Howards End,"drama,romance"
198,Insidious,"drama,horror,mystery,thriller,romance,fantasy"
199,Shot Caller,"crime,drama,thriller,mystery"
200,Air Force One,"action-and-adventure,drama,thriller,mystery"
201,Bill Burr: Paper Tiger,"comedy,stand-up-and-talk"
202,Bad Boys,"action-and-adventure,comedy,crime,thriller,mystery"
203,The Danish Girl,"biography,lgbtq,drama,romance"
204,The Stranger,"crime,drama,mystery,thriller"
205,Patriot Games,"action-and-adventure,crime,drama,thriller,mystery"
206,The Foreigner,"action-and-adventure,drama,thriller,mystery,crime"
207,Bird Box,"thriller,drama,science-fiction,mystery,horror"
208,A Ghost Story,"drama,fantasy,romance"
209,Hitch,"comedy,romance,drama"
210,On Body and Soul,"drama,romance,fantasy,mystery"
211,No Direction Home: Bob Dylan,"documentary,biography,history"
212,Hostiles,"action-and-adventure,drama,documentary,history"
213,Swiss Army Man,"action-and-adventure,comedy,drama,fantasy,romance"
214,Angel Has Fallen,"action-and-adventure,thriller,mystery,drama"
215,Kal Ho Naa Ho,"comedy,drama,romance,musical"
216,20th Century Women,"comedy,drama"
217,Enemy,"mystery,thriller,drama"
218,The Guernsey Literary & Potato Peel Pie Society,"romance,drama,history"
219,The Girl with All the Gifts,"drama,horror,thriller,science-fiction,mystery"
220,The Young Offenders,"comedy,action-and-adventure,crime,drama"
221,The Secret Life of Pets 2,"action-and-adventure,animation,comedy,family"
222,Da 5 Bloods,"drama,action-and-adventure"
223,Indiana Jones and the Kingdom of the Crystal Skull,action-and-adventure
224,The Night Comes for Us,"action-and-adventure,mystery,thriller,crime"
225,Julie & Julia,"biography,drama,romance"
226,Sairat,"drama,romance"
227,The Endless,"science-fiction,cult,horror,mystery,thriller,fantasy"
228,Everybody's Everything,documentary
229,Mary Poppins Returns,"fantasy,family,comedy,musical"
230,The Game Changers,documentary
231,"Lust, Caution","drama,romance,thriller,history,mystery,action-and-adventure"
232,Juice,"action-and-adventure,crime,drama,thriller,mystery"
233,Underworld,"action-and-adventure,fantasy,horror,thriller,mystery"
234,Wadjda,"comedy,drama"
235,Kon-Tiki,"action-and-adventure,history,biography,drama"
236,Under the Shadow,"horror,drama,thriller,mystery"
237,I Don't Feel at Home in This World Anymore,"crime,drama,thriller,comedy,mystery"
238,Kajaki,"action-and-adventure,drama,thriller,biography,mystery"
239,In This Corner of the World,"animation,anime,drama,history,family,romance"
240,Mirage,"science-fiction,thriller,drama,mystery,romance"
241,The Fear of 13,"documentary,crime,mystery"
242,Aquarius,drama
243,Stree,"horror,comedy"
244,The One I Love,"comedy,drama,romance,science-fiction,mystery,thriller,fantasy"
245,American Factory,documentary
246,Sinister,"horror,mystery,thriller"
247,The Distinguished Citizen,"comedy,drama"
248,Scooby-Doo on Zombie Island,"animation,comedy,mystery,action-and-adventure,family,fantasy,thriller"
249,What Happened to Monday,"science-fiction,thriller,action-and-adventure,crime,drama"
250,Madagascar: Escape 2 Africa,"animation,action-and-adventure,comedy,family"
251,The Hundred-Foot Journey,"comedy,drama"
252,Jarhead,"drama,action-and-adventure,biography,history"
253,Salt,"action-and-adventure,crime,mystery,thriller"
254,The Matrix Revolutions,"action-and-adventure,science-fiction,mystery,thriller"
255,Slow West,"action-and-adventure,thriller,drama,romance,mystery"
256,The White Helmets,"documentary,crime"
257,Defiance,"action-and-adventure,drama,history,thriller,mystery"
258,Chasing Coral,documentary
259,The Perfection,"drama,horror,thriller"
260,The Wolf's Call,"thriller,drama,action-and-adventure,science-fiction,mystery"
261,Ace Ventura: Pet Detective,"comedy,mystery,thriller"
262,Blood Father,"action-and-adventure,independent,thriller,crime,drama,mystery"
263,The End of the Tour,"drama,biography"
264,Dave Chappelle: Sticks & Stones,"comedy,stand-up-and-talk,documentary"
265,Rush: Beyond the Lighted Stage,"documentary,biography,musical"
266,Suburra,"crime,drama,thriller,mystery"
267,Ip Man 3,"action-and-adventure,biography,drama,history"
268,Yes Man,"comedy,romance"
269,The Death of Mr. Lazarescu,"drama,comedy"
270,My Week with Marilyn,"biography,drama"
271,Get Him to the Greek,"comedy,musical,action-and-adventure"
272,Private Life,"comedy,drama"
273,Secret Superstar,"drama,family"
