,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
0,"¡Ay, mi madre!",movie,2019,TV-MA,81 min,"When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.","Comedies,International Movies","Estefanía de los Santos,Secun de la Rosa,Terele Pávez,María Alfonsa Rosso,Mariola Fuentes,Alfonso Sánchez,Paz Vega,Marta Torné,Concha Galán",Frank Ariza,Spain,https://www.imdb.com/title/tt6213294/?ref_=plg_rt_1,"Added to Netflix:July 19, 2019"
1,'89,movie,2017,TV-PG,87 min,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",Sports Movies,"Lee Dixon,Ian Wright,Paul Merson",,United Kingdom,https://www.imdb.com/title/tt7614404/?ref_=plg_rt_1,"Added to Netflix:May 16, 2018"
2,(T)ERROR,movie,2015,TV-MA,84 min,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,Documentaries,,"Lyric R. Cabral,David Felix Sutcliffe",United States,https://www.imdb.com/title/tt4370922/?ref_=plg_rt_1,"Added to Netflix:June 30, 2016"
3,#FriendButMarried,movie,2018,TV-G,102 min,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.","Dramas,International Movies,Romantic Movies","Adipati Dolken,Vanesha Prescilla,Rendi Jhon,Beby Tsabina,Denira Wiraguna,Refal Hady,Diandra Agatha,Sari Nila",Rako Prijanto,Indonesia,https://www.imdb.com/title/tt8076266/?ref_=plg_rt_1,"Added to Netflix:May 21, 2020"
4,#realityhigh,movie,2017,TV-14,99 min,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",Comedies,"Nesta Cooper,Kate Walsh,John Michael Higgins,Keith Powers,Alicia Sanz,Jake Borelli,Kid Ink,Yousef Erakat,Rebekah Graf,Anne Winters,Peter Gilroy,Patrick Davis",Fernando Lebrija,United States,https://www.imdb.com/title/tt6119504/?ref_=plg_rt_1,"Added to Netflix:September 8, 2017"
5,#Rucker50,movie,2016,TV-G,56 min,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,"Documentaries,Sports Movies",,Robert McCullough Jr.,United States,https://www.imdb.com/title/tt6475636/?ref_=plg_rt_1,"Added to Netflix:December 1, 2016"
6,#Selfie,movie,2014,TV-MA,125 min,"Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.","Comedies,Dramas,International Movies","Flavia Hojda,Crina Semciuc,Olimpia Melinte,Levent Sali,Vlad Logigan,Alex Calin,Alina Chivulescu,Razvan Vasilescu",Cristina Jacob,Romania,https://www.imdb.com/title/tt3102208/?ref_=plg_rt_1,"Added to Netflix:June 1, 2019"
7,#Selfie 69,movie,2016,TV-MA,119 min,"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.","Comedies,Dramas,International Movies","Maia Morgenstern,Olimpia Melinte,Crina Semciuc,Flavia Hojda,Maria Dinulescu,Alex Calin,Vlad Logigan,Levent Sali,Silvia Busuioc,Mihaela Mihut",Cristina Jacob,Romania,https://www.imdb.com/title/tt4796634/?ref_=plg_rt_1,"Added to Netflix:June 1, 2019"
8,1 Mile to You,movie,2017,TV-14,105 min,"After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.","Dramas,Romantic Movies,Sports Movies","Billy Crudup,Graham Rogers,Liana Liberato,Stefanie Scott,Tim Roth,Melanie Lynskey,Thomas Cocquerel,Peter Coyote",Leif Tilden,United States,https://www.imdb.com/title/tt2184233/?ref_=plg_rt_1,"Added to Netflix:May 28, 2020"
9,10 Days in Sun City,movie,2017,TV-14,87 min,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.","Comedies,International Movies,Romantic Movies","Ayo Makun,Adesua Etomi,Richard Mofe-Damijo,Mercy Johnson,Falz,Tuface Idibia,Thenjiwe Moseley,Motlatsi Mafatshe,Celeste Ntuli,Miguel A. Núñez Jr.",Adze Ugah,South Africa,https://www.imdb.com/title/tt10499474/?ref_=plg_rt_1,"Added to Netflix:October 18, 2019"
