,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
0,100% Hotter,tvshow,2017,TV-MA,1 Season,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.","British TV Shows,International TV Shows,Reality TV","Daniel Palmer,Melissa Sophia,Karen Williams,Grace Woodward",,United Kingdom,https://www.imdb.com/title/tt5819414/?ref_=plg_rt_1,"Added to Netflix:November 1, 2019"
1,13 Reasons Why: Beyond the Reasons,tvshow,2019,TV-MA,3 Seasons,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""","Crime TV Shows,Docuseries","Dylan Minnette,Katherine Langford,Kate Walsh,Derek Luke,Alisha Boe,Justin Prentice,Brandon Flynn,Miles Heizer,Christian Navarro,Brian Yorkey,Tom McCarthy,Selena Gomez,Mandy Teefey,Jay Asher,Dr. Rona Hu,Dr. Helen Hsu,Dr. Rebecca Hedrick,Alexis Jones,Elaine Welteroth,Julia Bicknell,Dr. Christine Moutier,Nic Sheff,Carrie Goldberg,Anne Winters,Joy Gorman,Brandon Butler,Marissa Jo Cerar,Susanne Timms",,United States,https://www.imdb.com/title/tt6723582/?ref_=plg_rt_1,"New Season Added:August 23, 2019"
2,1983,tvshow,2018,TV-MA,1 Season,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.","Crime TV Shows,International TV Shows,TV Dramas","Robert Więckiewicz,Maciej Musiał,Michalina Olszańska,Andrzej Chyra,Clive Russell,Zofia Wichłacz,Edyta Olszówka,Mateusz Kościukiewicz,Ewa Błaszczyk,Vu Le Hong,Tomasz Włosok,Krzysztof Wach",,"Poland,United States",https://www.imdb.com/title/tt7371666/?ref_=plg_rt_1,"Added to Netflix:November 30, 2018"
3,1994,tvshow,2019,TV-MA,1 Season,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.","Crime TV Shows,Docuseries,International TV Shows",,Diego Enrique Osorno,Mexico,https://www.imdb.com/title/tt10225030/?ref_=plg_rt_1,"Added to Netflix:May 17, 2019"
4,20 Minutes,tvshow,2013,TV-MA,1 Season,"When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.","Crime TV Shows,International TV Shows,TV Dramas","Tuba Büyüküstün,Ilker Aksum,Bülent Emin Yarar,İpek Bilgin,Müjde Uzman,Firat Çelik,Ayten Uncuoglu,Cihat Tamer",,Turkey,https://www.imdb.com/title/tt2544148/?ref_=plg_rt_1,"Added to Netflix:August 15, 2017"
5,21 Sarfarosh: Saragarhi 1897,tvshow,2018,TV-14,1 Season,"In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.","International TV Shows,TV Dramas","Luke Kenny,Mohit Raina,Mukul Dev",,India,https://www.imdb.com/title/tt8062474/?ref_=plg_rt_1,"Added to Netflix:December 1, 2018"
6,21 Thunder,tvshow,2017,TV-MA,1 Season,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.","Crime TV Shows,International TV Shows,TV Dramas","Stephanie Bennett,Emmanuel Kabongo,RJ Fetherstonhaugh,Andres Joseph,Kevin Claydon,Conrad Pla,Clark Backo,Ryan Pierce,Eileen Li,Susan Bain,Cristina Rosato,Jonathan Kim,Colm Feore",,Canada,https://www.imdb.com/title/tt6145878/?ref_=plg_rt_1,"Added to Netflix:March 1, 2018"
7,28 Moons,tvshow,2016,TV-PG,1 Season,"When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.","International TV Shows,Korean TV Shows,Romantic TV Shows","Jin-sung Yang,Kyu-jong Kim,Tae-hwan Kang,Geummi",,,,"Added to Netflix:June 10, 2017"
8,3%,tvshow,2019,TV-MA,3 Seasons,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.","International TV Shows,TV Dramas,TV Sci-Fi & Fantasy","João Miguel,Bianca Comparato,Michel Gomes,Rodolfo Valente,Vaneza Oliveira,Rafael Lozano,Viviane Porto,Mel Fronckowiak,Sergio Mamberti,Zezé Motta,Celso Frateschi",,Brazil,https://www.imdb.com/title/tt4922804/?ref_=plg_rt_1,"New Season Added:June 7, 2019"
9,3Below: Tales of Arcadia,tvshow,2019,TV-Y7,2 Seasons,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.","Kids' TV,TV Action & Adventure,TV Sci-Fi & Fantasy","Tatiana Maslany,Diego Luna,Nick Offerman,Nick Frost,Glenn Close,Alon Aboutboul,Hayley Atwell,Darin De Paul,Andy Garcia,Cheryl Hines,Tom Kenny,Chris Obi,Cole Sand,Frank Welker,Steven Yeun",,United States,https://www.imdb.com/title/tt7736544/?ref_=plg_rt_1,"New Season Added:July 12, 2019"
