,title,similarity,originals,genres,year
0,bird box,1.0,1,"thriller,drama,science-fiction,mystery,horror",2018
1,the silence,0.8523328900337219,0,"horror,drama,science-fiction,thriller,mystery,fantasy,comedy",2019
2,dark places,0.8452717661857605,0,"drama,mystery,thriller,action-and-adventure",2015
3,the forest of love,0.8376951217651367,1,"drama,mystery,horror,thriller,crime",2019
4,the keeping hours,0.8354559540748596,0,"thriller,drama,fantasy,horror,mystery",2017
5,how it ends,0.8339114189147949,1,"action-and-adventure,science-fiction,thriller,mystery,drama",2018
6,cabin fever,0.8330482244491577,0,"comedy,horror,science-fiction,thriller,mystery",2016
7,our house,0.8324781656265259,0,"drama,horror,mystery,science-fiction,thriller",2018
8,mute,0.8303752541542053,1,"drama,mystery,science-fiction,thriller",2017
9,into the forest,0.8292941451072693,0,"drama,science-fiction,thriller,mystery,horror",2016
10,dark skies,0.8282501697540283,0,"horror,science-fiction,thriller,mystery,documentary",2013
11,murder mystery,1.0000001192092896,1,"comedy,crime,mystery,action-and-adventure,romance,thriller",2019
12,ek hasina thi,0.8399155139923096,0,"crime,romance,thriller,drama,mystery,action-and-adventure",2004
13,i am wrath,0.8390663862228394,0,"action-and-adventure,thriller,crime,drama,mystery",2016
14,haider,0.8373321890830994,0,"crime,drama,romance,thriller,action-and-adventure",2014
15,one 2 ka 4,0.8352243304252625,0,"action-and-adventure,comedy,drama,crime,thriller,mystery",2001
16,the guest,0.8345416784286499,0,"action-and-adventure,mystery,thriller,crime,drama,comedy,horror",2014
17,bad day for the cut,0.8335911631584167,0,"thriller,action-and-adventure,crime,drama,mystery",2017
18,hell or high water,0.8295177221298218,0,"thriller,crime,drama,mystery,action-and-adventure",2016
19,vanjagar ulagam,0.818825364112854,0,"crime,drama,thriller,action-and-adventure",2018
20,acts of vengeance,0.8185352087020874,0,"action-and-adventure,drama,thriller,mystery",2017
21,awake,0.8156998753547668,0,"action-and-adventure,crime,thriller,mystery",2019
22,triple frontier,1.000000238418579,1,"action-and-adventure,thriller,crime,drama,mystery",2019
