,title,genres,year,originals,everything
0,부릉! 부릉! 브루미즈,"animation,action-and-adventure,family,children",No info,0,"A group of vehicular toys come alive to explore ways to build good character in their friendship. animation,action-and-adventure,family,children"
1,100% Hotter,reality,2016,0,"Entertaining makeunder series in which fashion eyesores are stripped of their excessive make-up and outrageous clothes and transformed by fashion stylist Grace Woodward, hair designer Daniel K Palmer and makeup Melissa Sophia. reality"
2,100 Humans. Life's Questions. Answered.,"documentary,reality",2020,1,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human. documentary,reality"
3,13 Reasons Why,"drama,mystery,thriller",2017,1,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice. drama,mystery,thriller"
4,13 Reasons Why: Beyond the Reasons,documentary,2017,1,"This 30-minute segment gives insight into the production of the Netflix series and the importance of the themes of suicide, cyberbullying, sexual assault and mental illness, featuring interviews from the cast, director, writers, psychologists, author Jay Asher, and executive producer Selena Gomez. documentary"
5,1983,"crime,drama,thriller,mystery",2018,1,"Twenty years after a devastating terrorist attack in 1983 that halted the course of Poland's liberation and the subsequent downfall of the Soviet Union, an idealistic law student Kajetan and a disgraced police investigator Anatol stumble upon a conspiracy that has kept the Iron Curtain standing and Poland living under a repressive police state. crime,drama,thriller,mystery"
6,1994,"documentary,history",2019,1,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio. documentary,history"
7,20 Minutes,"action-and-adventure,drama,romance",2013,0,"20 Dakika is a Turkish series broadcast on Star TV. action-and-adventure,drama,romance"
8,21 Sarfarosh - Saragarhi 1897,"action-and-adventure,drama",2018,0,"In September 1897, 21 soldiers of the 36th Sikh regiment of the British Indian Army defend an army outpost at Saragarhi against an attack by over 10,000 Pashtun and Orakzai tribals. action-and-adventure,drama"
9,21 Thunder,"drama,action-and-adventure,sport",2017,1,"The story of the Montreal Thunder U21 (under-21) team, following the team's star players on and off the field. A story of love, crime, race, sex and athletic glory, at its core the series is about how a group of players and coaches unite as family in the whirlwind of life, one step away from the pros. drama,action-and-adventure,sport"
10,3%,"thriller,action-and-adventure,drama,science-fiction,mystery,fantasy",2016,1,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor. thriller,action-and-adventure,drama,science-fiction,mystery,fantasy"
11,30 for 30,"documentary,sport,biography,history",2009,0,"30 for 30 is the umbrella title for a series of documentary films airing on ESPN and its sister networks and online properties. The series, which highlights people and events in the sports world that have generally received small amounts of attention, has featured two ""volumes"" of 30 episodes each, a 13-episode series under the ESPN Films Presents title in 2011-2012, and a series of 30 for 30 Shorts shown through the ESPN.com website. documentary,sport,biography,history"
12,3Below: Tales of Arcadia,"action-and-adventure,animation,comedy,family,fantasy,science-fiction,children",2018,1,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters. action-and-adventure,animation,comedy,family,fantasy,science-fiction,children"
13,44 Cats,"animation,action-and-adventure,comedy,family,musical,children",2019,0,"The adventures of four kittens who make up the musical group called The Buffycats, with stories focusing on themes of friendship, altruism, tolerance and diversity. animation,action-and-adventure,comedy,family,musical,children"
14,45 RPM,"drama,action-and-adventure,romance",2019,1,"The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry. drama,action-and-adventure,romance"
15,46,drama,2017,0,"Friends Adam and Luke are the life of the party. When they decide that Luke should host a party at his house, what was meant to be a night of fun without responsibilities turns out to be a nightmare for Adam. drama"
16,72 Cutest Animals,documentary,2016,0,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments. documentary
17,72 Dangerous Animals: Asia,documentary,2018,1,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all? documentary"
18,72 Dangerous Animals: Australia,documentary,2014,0,"Australia is full of dangerous animals – but which creature is our country’s deadliest? From the Freshwater Crocodile to the Cane Toad, we’re counting down to the most dangerous Aussie animal. documentary"
19,72 Dangerous Animals: Latin America,documentary,No info,1,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures. documentary"
20,72 Dangerous Places to Live,documentary,2016,0,"Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths. documentary"
21,7SEEDS,"animation,anime,action-and-adventure,drama,horror,mystery,romance,science-fiction,fantasy",2019,1,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth. animation,anime,action-and-adventure,drama,horror,mystery,romance,science-fiction,fantasy"
22,A Boy Named Flora A,"comedy,drama",2017,0,"A heart-warming story of a family that has a lot of issues financially, emotionally, and physically with a lot of humorous family members. comedy,drama"
23,Abstract: The Art of Design,documentary,2017,1,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life. documentary
24,Absurd Planet,documentary,2020,1,"A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth's most incredible animals. documentary"
25,Abyss,"comedy,romance,fantasy,science-fiction,drama",2019,1,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize. comedy,romance,fantasy,science-fiction,drama"
26,Accidentally In Love,"comedy,romance,drama,family",2018,1,"The quirky experiences of a popular singer who returns to school and becomes seat mates with a seemingly ordinary girl.When Si Tu Feng decides to go back to school, he becomes the center of attention as fans, classmates and the media follow his every move. He meets Chen Qing Qing, an ordinary student with a dual personality. comedy,romance,drama,family"
27,"Acero, Woman of Steel","crime,drama,romance",2014,0,"The adventures of Vicenta Acero, the feared coyote who now leads the dynasty of illicit dealings once under the control of her father. crime,drama,romance"
28,A Cook Abroad,"documentary,food,travel",2015,0,"Culinary travelogue in which celebrity cooks and chefs visit foreign countries to sample their food and culture. documentary,food,travel"
29,A Cook's Tour,"documentary,reality",2002,0,"A Cook's Tour is a travel and food show that aired on the Food Network. Host Anthony Bourdain visits exotic countries and cities worldwide where hosts treat him to local culture and cuisine.Two seasons of episodes were produced in 2000 and 2001 and aired first-run in 2001 and 2002 in the U.S. on the Food Network. In the summer of 2008, the Food Network stopped re-running the series and rolled out a completely overhauled website omitting all but a single reference to Anthony Bourdain from March 2008 entitled, ""Anthony Bourdain's Rant"", tagged under Food Network topics ""vegetables"" and ""simmer,"" likely due to the emergence of Bourdain's similarly themed current series, No Reservations, on sister network Travel Channel. Questar Entertainment released a DVD box set of A Cook's Tour on DVD in January 2012. Early versions of this DVD box set are missing the episode TB1A04, Eating on the Mekong. Replacement DVDs are available from Questar starting in late February, 2012. As of March, 2012 episodes of A Cook's Tour have begun airing on the Travel Channel. documentary,reality"
30,Adam Ruins Everything,"comedy,animation,history,documentary",2015,0,"Host Adam Conover employs a combination of comedy, history and science to dispel widespread misconceptions about everything we take for granted. comedy,animation,history,documentary"
31,A.D. The Bible Continues,drama,2015,0,"""A.D. The Bible Continues"" picks up where the smash hit miniseries ""The Bible"" left off, continuing the greatest story ever told and exploring the exciting and inspiring events that followed the Crucifixion of Christ. The immediate aftermath of Christ's death had a massive impact on his disciples, his mother, Mary, and key political and religious leaders of the era, completely altering the entire world in an instant. Beginning at that fateful moment of the Crucifixion and the Resurrection, ""A.D. The Bible Continues"" will focus on the disciples who had to go forward and spread the teachings of Christ to a world dominated by political unrest, and the start of a whole new religion that would dramatically reshape the history of the world. drama"
