,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
0,13 Reasons Why: Beyond the Reasons,tvshow,2019,TV-MA,3 Seasons,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""","['Crime TV Shows', 'Docuseries']","['Dylan Minnette', 'Katherine Langford', 'Kate Walsh', 'Derek Luke', 'Alisha Boe', 'Justin Prentice', 'Brandon Flynn', 'Miles Heizer', 'Christian Navarro', 'Brian Yorkey', 'Tom McCarthy', 'Selena Gomez', 'Mandy Teefey', 'Jay Asher', 'Dr. Rona Hu', 'Dr. Helen Hsu', 'Dr. Rebecca Hedrick', 'Alexis Jones', 'Elaine Welteroth', 'Julia Bicknell', 'Dr. Christine Moutier', 'Nic Sheff', 'Carrie Goldberg', 'Anne Winters', 'Joy Gorman', 'Brandon Butler', 'Marissa Jo Cerar', 'Susanne Timms']",[],['United States'],['https://www.imdb.com/title/tt6723582/?ref_=plg_rt_1'],"New Season Added:August 23, 2019"
1,1983,tvshow,2018,TV-MA,1 Season,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.","['Crime TV Shows', 'International TV Shows', 'TV Dramas']","['Robert Więckiewicz', 'Maciej Musiał', 'Michalina Olszańska', 'Andrzej Chyra', 'Clive Russell', 'Zofia Wichłacz', 'Edyta Olszówka', 'Mateusz Kościukiewicz', 'Ewa Błaszczyk', 'Vu Le Hong', 'Tomasz Włosok', 'Krzysztof Wach']",[],"['Poland', 'United States']",['https://www.imdb.com/title/tt7371666/?ref_=plg_rt_1'],"Added to Netflix:November 30, 2018"
2,1994,tvshow,2019,TV-MA,1 Season,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.","['Crime TV Shows', 'Docuseries', 'International TV Shows']",[],['Diego Enrique Osorno'],['Mexico'],['https://www.imdb.com/title/tt10225030/?ref_=plg_rt_1'],"Added to Netflix:May 17, 2019"
3,21 Thunder,tvshow,2017,TV-MA,1 Season,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.","['Crime TV Shows', 'International TV Shows', 'TV Dramas']","['Stephanie Bennett', 'Emmanuel Kabongo', 'RJ Fetherstonhaugh', 'Andres Joseph', 'Kevin Claydon', 'Conrad Pla', 'Clark Backo', 'Ryan Pierce', 'Eileen Li', 'Susan Bain', 'Cristina Rosato', 'Jonathan Kim', 'Colm Feore']",[],['Canada'],['https://www.imdb.com/title/tt6145878/?ref_=plg_rt_1'],"Added to Netflix:March 1, 2018"
4,3%,tvshow,2019,TV-MA,3 Seasons,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.","['International TV Shows', 'TV Dramas', 'TV Sci-Fi & Fantasy']","['João Miguel', 'Bianca Comparato', 'Michel Gomes', 'Rodolfo Valente', 'Vaneza Oliveira', 'Rafael Lozano', 'Viviane Porto', 'Mel Fronckowiak', 'Sergio Mamberti', 'Zezé Motta', 'Celso Frateschi']",[],['Brazil'],['https://www.imdb.com/title/tt4922804/?ref_=plg_rt_1'],"New Season Added:June 7, 2019"
5,3Below: Tales of Arcadia,tvshow,2019,TV-Y7,2 Seasons,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.","[""Kids' TV"", 'TV Action & Adventure', 'TV Sci-Fi & Fantasy']","['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Nick Frost', 'Glenn Close', 'Alon Aboutboul', 'Hayley Atwell', 'Darin De Paul', 'Andy Garcia', 'Cheryl Hines', 'Tom Kenny', 'Chris Obi', 'Cole Sand', 'Frank Welker', 'Steven Yeun']",[],['United States'],['https://www.imdb.com/title/tt7736544/?ref_=plg_rt_1'],"New Season Added:July 12, 2019"
6,45 rpm,tvshow,2019,TV-MA,1 Season,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.","['International TV Shows', 'Romantic TV Shows', 'Spanish-Language TV Shows']","['Carlos Cuevas', 'Guiomar Puerta', 'Iván Marcos', 'Israel Elejalde', 'Eudald Font', 'Luis Larrodera', 'Carmen Gutiérrez', 'Diana Gómez', 'Vito Sanz', 'Marina San José', 'Pere Ponce', 'Joan Pera']",[],['Spain'],['https://www.imdb.com/title/tt8987918/?ref_=plg_rt_1'],"Added to Netflix:August 16, 2019"
7,7 Days Out,tvshow,2018,TV-PG,1 Season,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",['Docuseries'],[],[],['United States'],['https://www.imdb.com/title/tt9315990/?ref_=plg_rt_1'],"Added to Netflix:December 21, 2018"
8,72 Dangerous Animals: Asia,tvshow,2018,TV-14,1 Season,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?","['Docuseries', 'International TV Shows', 'Science & Nature TV']",['Bob Brisbane'],[],['Australia'],['https://www.imdb.com/title/tt8728268/?ref_=plg_rt_1'],"Added to Netflix:August 10, 2018"
9,72 Dangerous Animals: Latin America,tvshow,2017,TV-14,1 Season,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.","['Docuseries', 'International TV Shows', 'Science & Nature TV']",['Bob Brisbane'],[],"['Australia', 'United States']",['https://www.imdb.com/title/tt7909708/?ref_=plg_rt_1'],"Added to Netflix:December 22, 2017"
10,A Little Help with Carol Burnett,tvshow,2018,TV-G,1 Season,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.","['Stand-Up Comedy & Talk Shows', 'TV Comedies']","['Carol Burnett', 'Russell Peters', 'Mark Cuban', 'Taraji P. Henson', 'Brittany Snow', 'Wanda Sykes', 'Derek Hough', 'Billy Eichner', 'Lisa Kudrow', 'Candace Cameron Bure', 'DJ Khaled', 'Tony Hale', 'Julie Bowen']",[],['United States'],['https://www.imdb.com/title/tt7204366/?ref_=plg_rt_1'],"Added to Netflix:May 4, 2018"
11,A Series of Unfortunate Events,tvshow,2019,TV-PG,3 Seasons,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.","[""Kids' TV"", 'TV Action & Adventure', 'TV Comedies']","['Neil Patrick Harris', 'Patrick Warburton', 'Malina Weissman', 'Louis Hynes', 'K. Todd Freeman', 'Joan Cusack', 'Aasif Mandvi']",[],['United States'],['https://www.imdb.com/title/tt4834206/?ref_=plg_rt_1'],"New Season Added:January 1, 2019"
12,A Taiwanese Tale of Two Cities,tvshow,2018,TV-MA,1 Season,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.","['International TV Shows', 'TV Dramas']","['Tammy Chen', 'James Wen', 'Peggy Tseng', 'Denny Huang']",[],[''],['https://www.imdb.com/title/tt8893498/?ref_=plg_rt_1'],"Added to Netflix:January 27, 2019"
13,A Thousand Goodnights,tvshow,2019,TV-14,1 Season,"To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.","['International TV Shows', 'TV Dramas']","['Cindy Lien', 'Nicholas Teo', 'Yao Ai-ning', 'Li Chung-lin', 'Chen Bor-jeng', 'Miao Ke-li']",[],['Taiwan'],['https://www.imdb.com/title/tt10370952/?ref_=plg_rt_1'],"Added to Netflix:June 1, 2019"
14,A Very Secret Service,tvshow,2018,TV-MA,2 Seasons,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.","['International TV Shows', 'TV Comedies']","['Hugo Becker', 'Wilfred Benaïche', 'Christophe Kourotchkine', 'Karim Barras', 'Bruno Paviot', 'Jean-Édouard Bodziak', 'Mathilde Warnier', 'Joséphine de La Baume', 'Marie-Julie Baup', 'Antoine Gouy', 'Julie Farenc']",[],['France'],['https://www.imdb.com/title/tt4367560/?ref_=plg_rt_1'],"New Season Added:July 30, 2018"
15,A.I.C.O.,tvshow,2018,TV-14,1 Season,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.,"['Anime Series', 'International TV Shows']","['Haruka Shiraishi', 'Yusuke Kobayashi', 'Makoto Furukawa', 'Taishi Murata', 'Kaori Nazuka', 'M・A・O', 'Ryota Takeuchi', 'Ai Kayano', 'Toru Okawa', 'Takehito Koyasu', 'Atsuko Tanaka']",['Kazuya Murata'],['Japan'],['https://www.imdb.com/title/tt8116380/?ref_=plg_rt_1'],"Added to Netflix:March 9, 2018"
16,Abstract: The Art of Design,tvshow,2019,TV-14,2 Seasons,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,['Docuseries'],"['Christoph Niemann', 'Tinker Hatfield', 'Es Devlin', 'Bjarke Ingels', 'Paula Scher', 'Platon', 'Ilse Crawford', 'Ralph Gilles']",[],['United States'],['https://www.imdb.com/title/tt6333098/?ref_=plg_rt_1'],"New Season Added:September 25, 2019"
